rk,group,procescode,omschrijving,fabricaat,type,aantal,AI,AO,DI,DO,SOFT,voltage,power_kw,current_a,va,bus_protocol,bus_naam,derden_flag,locatie,regelkast_spec,opmerking,source_ref,DI_bedrijf,DI_storing,DI_status,mr_flag
,Algemeen,,Buitentemperatuuropnemer,,,1,2.0,0,0,0,0,24,,,,,,,,,,IO.xlsx:RK1:r23,,,,
,Algemeen,,Verzamel storingsmelding urgent (front deur),,,1,0,0,0,1.0,0,,,,,,,,,,,IO.xlsx:RK1:r24,,,,
,Algemeen,,Verzamel storingsmelding niet-urgent (front deur),,,1,0,0,0,1.0,0,,,,,,,,,,,IO.xlsx:RK1:r25,,,,
,Algemeen,,Reset storingsmelding (drukknop op front),,,1,0,0,0,1.0,0,,,,,,,,,,,IO.xlsx:RK1:r26,,,,
,Algemeen,,Brandmelding Brandmeldcentrale (levering E-installateur),,,1,0,0,0,1.0,0,,,,,,,,,,,IO.xlsx:RK1:r27,,,,
,Algemeen,,Signalering Brandsituatie (front deur),,,1,0,0,0,1.0,0,,,,,,,,,,,IO.xlsx:RK1:r28,,,,
,Algemeen,,Brandschakelaar toevoer (brandpaneel levering E-installateur),,,1,0,0,0,2.0,0,,,,,,,,,,,IO.xlsx:RK1:r29,,,,
,Algemeen,,Brandschakelaar afvoer (brandpaneel levering E-installateur),,,1,0,0,0,2.0,0,,,,,,,,,,,IO.xlsx:RK1:r30,,,,
,Algemeen,,Signalering brandklep (verzameld),,,1,0,0,0,1.0,0,,,,,,,,,,,IO.xlsx:RK1:r31,,,,
,Warmtepomp 1,,Warmtepomp,,,1,0,1.0,1.0,1.0,15,,,,,Modbus-RTU,,,,,"VW=5 OW=10 | P[kW]='Hopp-E' (niet-numeriek, niet overgenomen) | Vrijgave | Storing | Vermogen sturing",IO.xlsx:RK1:r34,,,,
,Warmtepomp 1,,Tracing,,,1,0,0,1.0,1.0,0,230,1.5,,,,,,,,Vrijgave | Storing,IO.xlsx:RK1:r38,,,,
,Warmtepomp 1,,3-weg afsluiter,,VXF22.80-100 - DN80,1,0,1.0,0,0,0,,,,,,,,,,,IO.xlsx:RK1:r40,,,,
,Warmtepomp 1,,Aanvoer temperatuur,Siemens,QAE2120.010,1,1.0,0,0,0,0,,,,,,,,,,,IO.xlsx:RK1:r41,,,,
,Warmtepomp 1,,Retour temperatuur,Siemens,QAE2120.010,1,1.0,0,0,0,0,,,,,,,,,,,IO.xlsx:RK1:r42,,,,
,Warmtepomp 1,,Energiemeter,,,1,0,0,0,0,4,230,,6,,Bacnet MS/TP,,,,,VW=0 OW=4,IO.xlsx:RK1:r43,,,,
,Warmtepomp 2,,Warmtepomp,,,1,0,1.0,1.0,1.0,15,,,,,Modbus-RTU,,,,,"VW=5 OW=10 | P[kW]='Hopp-E' (niet-numeriek, niet overgenomen) | Vrijgave | Storing | Vermogen sturing",IO.xlsx:RK1:r46,,,,
,Warmtepomp 2,,3-weg afsluiter,,VXF22.80-100 - DN80,1,0,1.0,0,0,0,,,,,,,,,,,IO.xlsx:RK1:r50,,,,
,Warmtepomp 2,,Aanvoer temperatuur,Siemens,QAE2120.010,1,1.0,0,0,0,0,,,,,,,,,,,IO.xlsx:RK1:r51,,,,
,Warmtepomp 2,,Retour temperatuur,Siemens,QAE2120.010,1,1.0,0,0,0,0,,,,,,,,,,,IO.xlsx:RK1:r52,,,,
,Warmtepomp 2,,Energiemeter,,,1,0,0,0,0,4,230,,6,,Bacnet MS/TP,,,,,VW=0 OW=4,IO.xlsx:RK1:r53,,,,
,Warmtepomp 3,,Warmtepomp,,,1,0,1.0,1.0,1.0,15,,,,,Modbus-RTU,,,,,"VW=5 OW=10 | P[kW]='Hopp-E' (niet-numeriek, niet overgenomen) | Vrijgave | Storing | Vermogen sturing",IO.xlsx:RK1:r56,,,,
,Warmtepomp 3,,3-weg afsluiter,,VXF22.80-100 - DN80,1,0,1.0,0,0,0,,,,,,,,,,,IO.xlsx:RK1:r60,,,,
,Warmtepomp 3,,Aanvoer temperatuur,Siemens,QAE2120.010,1,1.0,0,0,0,0,,,,,,,,,,,IO.xlsx:RK1:r61,,,,
,Warmtepomp 3,,Retour temperatuur,Siemens,QAE2120.010,1,1.0,0,0,0,0,,,,,,,,,,,IO.xlsx:RK1:r62,,,,
,Warmtepomp 3,,Energiemeter,,,1,0,0,0,0,4,230,,6,,Bacnet MS/TP,,,,,VW=0 OW=4,IO.xlsx:RK1:r63,,,,
,Warmtepomp 4,,Warmtepomp,,,1,0,1.0,1.0,1.0,15,,,,,Modbus-RTU,,,,,"VW=5 OW=10 | P[kW]='Hopp-E' (niet-numeriek, niet overgenomen) | Vrijgave | Storing | Vermogen sturing",IO.xlsx:RK1:r66,,,,
,Warmtepomp 4,,3-weg afsluiter,,VXF22.80-100 - DN80,1,0,1.0,0,0,0,,,,,,,,,,,IO.xlsx:RK1:r70,,,,
,Warmtepomp 4,,Aanvoer temperatuur,Siemens,QAE2120.010,1,1.0,0,0,0,0,,,,,,,,,,,IO.xlsx:RK1:r71,,,,
,Warmtepomp 4,,Retour temperatuur,Siemens,QAE2120.010,1,1.0,0,0,0,0,,,,,,,,,,,IO.xlsx:RK1:r72,,,,
,Warmtepomp 4,,Energiemeter,,,1,0,0,0,0,4,230,,6,,Bacnet MS/TP,,,,,VW=0 OW=4,IO.xlsx:RK1:r73,,,,
