rk,group,procescode,omschrijving,fabricaat,type,aantal,AI,AO,DI,DO,SOFT,voltage,power_kw,current_a,va,bus_protocol,bus_naam,derden_flag,locatie,regelkast_spec,opmerking,source_ref,DI_bedrijf,DI_storing,DI_status,mr_flag
,Warmtepompen met cascade regeling - Warmtepomp 1,,Unit met eigen regeling,,,1,0,0,0,0,20,,,,,Modbus,,ja,,,datacomm. | VOEDING LEVERING DERDEN,IO.pdf:RK1:r2,,,,
,Warmtepompen met cascade regeling - Warmtepomp 1,,Elektrameter,,,1,0,0,0,0,7,,,,,M-bus,,,,,datacomm. | Kwh meter levering Novectra,IO.pdf:RK1:r3,,,,
,Warmtepompen met cascade regeling - Warmtepomp 1,,Tracing,,,1,0,0,1,1,0,230V,,,,,,,,,vrijgave + bedrijf/storing | DDC VOEDING 230V/10A - 30mA,IO.pdf:RK1:r4,,,,
,Warmtepompen met cascade regeling - Warmtepomp 2,,Unit met eigen regeling,,,1,0,0,0,0,20,,,,,Modbus,,ja,,,datacomm. | VOEDING LEVERING DERDEN,IO.pdf:RK1:r5,,,,
,Warmtepompen met cascade regeling - Warmtepomp 2,,Elektrameter,,,1,0,0,0,0,7,,,,,M-bus,,,,,datacomm. | Kwh meter levering Novectra,IO.pdf:RK1:r6,,,,
,Warmtepompen met cascade regeling - Warmtepomp 2,,Tracing,,,1,0,0,1,1,0,230V,,,,,,,,,vrijgave + bedrijf/storing | DDC VOEDING 230V/10A - 30mA,IO.pdf:RK1:r7,,,,
,Warmtepompen met cascade regeling,,Aanvoertemp. Opnemer CV,,,1,1,0,0,0,0,,,,,,,,,,meting Ni1000 | QAE2120.010,IO.pdf:RK1:r8,,,,
,Warmtepompen met cascade regeling,,Retourtemp. Opnemer CV,,,1,1,0,0,0,0,,,,,,,,,,meting Ni1000 | QAE2120.010,IO.pdf:RK1:r9,,,,
,Buffervaten - Buffervat CV,,Temp. opnemer onderzijde buffervat,,,1,1,0,0,0,0,,,,,,,,,,meting Ni1000 | 1x QAE2120.010,IO.pdf:RK1:r10,,,,
,Buffervaten - Buffervat CV,,Temp. opnemer bovenzijde buffervat,,,1,1,0,0,0,0,,,,,,,,,,meting Ni1000 | 1x QAE2120.010,IO.pdf:RK1:r11,,,,
