rk,group,procescode,omschrijving,fabricaat,type,aantal,AI,AO,DI,DO,SOFT,voltage,power_kw,current_a,va,bus_protocol,bus_naam,derden_flag,locatie,opmerking,source_ref
RK071,Warmtepomp,,Warmtepompcentrale,Servex,SWP - DC - U562,1,0,0,4,0,98,,,,,Modbus RTU,Modbus1,true,op dak,475A voeding vanuit HVK zie specs Servex; 10A secundair vanuit HVK,IO.pdf:r1-2
RK071,Warmtepomp,,Tracing leidingen bovendaks,n.t.b.,24 meter @ 25 W/m,4,0,0,1,0,0,230,,,,,,true,op dak,Uitgaan van voeding door derden,IO.pdf:r3
RK071,Warmtepomp,,kWh-meter warmtepompcentrale n.t.b.,n.t.b.,n.t.b.,1,0,0,0,0,8,,,,,Modbus RTU,Modbus1,false,,,IO.pdf:r4
RK071,Regelkast,081RK_01,Regelkast,,,1,0,0,0,0,0,,,,,,,true,,,IO.pdf:r5
RK071,Buffervat GKW,071TE_06,Temperatuur hoog buffer GKW,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,,,IO.pdf:r8
RK071,Buffervat GKW,071TE_07,Temperatuur midden/hoog buffer GKW,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,,,IO.pdf:r9
RK071,Buffervat GKW,071TE_08,Temperatuur midden/laag buffer GKW,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,,,IO.pdf:r10
RK071,Buffervat GKW,071TE_09,Temperatuur laag buffer GKW,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,,,IO.pdf:r11
RK071,Buffervat CV,071TE_14,Temperatuur hoog buffer LT-CV,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,,,IO.pdf:r12
RK071,Buffervat CV,071TE_15,Temperatuur midden buffer LT-CV,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,,,IO.pdf:r13
RK071,Buffervat CV,071TE_16,Temperatuur laag buffer LT-CV,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,,,IO.pdf:r14
