rk,group,procescode,omschrijving,fabricaat,type,aantal,AI,AO,DI,DO,SOFT,voltage,power_kw,current_a,va,bus_protocol,bus_naam,derden_flag,locatie,opmerking,source_ref
RK071,Installaties op het dak,,Warmtepompcentrale (hoofdvoeding + condensor),Servex,SWP - DC - U562,1,0,0,2,0,98,,,,,Modbus RTU,Modbus1,true,op dak,475A voeding vanuit HVK zie specs Servex,IO:r1
RK071,Installaties op het dak,,Warmtepompcentrale (secundaire voeding + verdamper),Servex,SWP - DC - U562,1,0,0,2,0,0,,,,,,,true,op dak,10A voeding vanuit HVK,IO:r2
RK071,Installaties op het dak,,Tracing leidingen bovendaks,n.t.b.,24 meter @ 25 W/m,4,0,0,0,1,0,230,,,,,,false,op dak,optioneel vanuit regelkast,IO:r3
RK071,Installaties op het dak,,kWh-meter wwarmtepompcentrale,n.t.b.,n.t.b.,1,0,0,0,0,8,,,,,Modbus RTU,Modbus1,false,op dak,,IO:r4
RK071,,081RK_01,Regelkast,,,1,0,0,0,0,0,,,,,,,true,,,IO:r5
RK071,Buffervat GKW,071TE_06,Temperatuur hoog buffer GKW,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,,,IO:r8
RK071,Buffervat GKW,071TE_07,Temperatuur midden/hoog buffer GKW,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,,,IO:r9
RK071,Buffervat GKW,071TE_08,Temperatuur midden/laag buffer GKW,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,,,IO:r10
RK071,Buffervat GKW,071TE_09,Temperatuur laag buffer GKW,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,,,IO:r11
RK071,Installaties buiten bij buffervat,071TE_14,Temperatuur hoog buffer LT-CV,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,Buiten TR,,IO:r12
RK071,Installaties buiten bij buffervat,071TE_15,Temperatuur midden buffer LT-CV,Belimo,01DT-1BR + A-22P-A26,1,1,0,0,0,0,,,,,,,false,Buiten TR,,IO:r13
